,Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,Variant.1,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
22,Case 5,Closed,Value 5,2012/05/25 13:10:28.000,Variant 9,9,Variant 9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
23,Case 6,Assign seriousness,Value 2,2011/10/25 15:13:58.000,Variant 1,1,Variant 1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
24,Case 6,Take in charge ticket,Value 2,2011/10/25 15:58:55.000,Variant 1,1,Variant 1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
25,Case 6,Resolve ticket,Value 2,2011/10/26 09:54:46.000,Variant 1,1,Variant 1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
26,Case 6,Closed,Value 5,2011/12/10 16:20:56.000,Variant 1,1,Variant 1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
27,Case 7,Assign seriousness,Value 1,2013/11/06 10:47:35.000,Variant 23,23,Variant 23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
28,Case 7,Assign seriousness,Value 1,2013/11/06 10:48:53.000,Variant 23,23,Variant 23,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
29,Case 7,Assign seriousness,Value 2,2013/11/22 08:00:08.000,Variant 23,23,Variant 23,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
30,Case 7,Take in charge ticket,Value 11,2013/11/25 08:18:07.000,Variant 23,23,Variant 23,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
31,Case 7,Resolve ticket,Value 11,2013/11/25 08:57:19.000,Variant 23,23,Variant 23,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
32,Case 7,Closed,Value 3,2013/12/10 08:57:37.000,Variant 23,23,Variant 23,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
33,Case 8,Assign seriousness,Value 1,2012/07/05 08:30:32.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
34,Case 8,Take in charge ticket,Value 6,2012/07/05 09:25:45.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
35,Case 8,Resolve ticket,Value 6,2012/07/05 09:44:46.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
36,Case 8,Closed,Value 5,2012/09/02 08:40:27.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
37,Case 9,Insert ticket,Value 12,2010/05/07 13:02:21.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 3,Value 4,Value 1,Value 1,Value 1
38,Case 9,Assign seriousness,Value 12,2010/05/07 13:02:34.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 4,Value 1,Value 1,Value 1
39,Case 9,Take in charge ticket,Value 6,2010/05/24 10:26:28.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
40,Case 9,Resolve ticket,Value 12,2010/05/25 15:35:44.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
41,Case 9,Closed,Value 5,2010/06/09 15:35:56.000,Variant 7,7,Variant 7,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
50,Case 12,Assign seriousness,Value 4,2013/03/18 10:47:34.000,Variant 1,1,Variant 1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
51,Case 12,Take in charge ticket,Value 2,2013/03/18 15:03:49.000,Variant 1,1,Variant 1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
52,Case 12,Resolve ticket,Value 2,2013/04/03 07:13:38.000,Variant 1,1,Variant 1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
53,Case 12,Closed,Value 3,2013/04/18 07:13:53.000,Variant 1,1,Variant 1,Value 1,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
54,Case 13,Assign seriousness,Value 4,2012/12/17 09:47:49.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
55,Case 13,Take in charge ticket,Value 4,2013/01/02 09:22:43.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
56,Case 13,Resolve ticket,Value 4,2013/01/04 10:29:36.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
57,Case 13,Closed,Value 3,2013/01/19 10:29:51.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
58,Case 14,Assign seriousness,Value 13,2011/07/05 13:47:08.000,Variant 1,1,Variant 1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
59,Case 14,Take in charge ticket,Value 13,2011/07/05 13:47:22.000,Variant 1,1,Variant 1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
60,Case 14,Resolve ticket,Value 13,2011/07/05 13:52:37.000,Variant 1,1,Variant 1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
61,Case 14,Closed,Value 5,2011/08/05 13:50:21.000,Variant 1,1,Variant 1,Value 1,Value 14,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
62,Case 15,Assign seriousness,Value 2,2013/02/20 09:58:27.000,Variant 4,4,Variant 4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
63,Case 15,Assign seriousness,Value 2,2013/03/08 08:25:42.000,Variant 4,4,Variant 4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
64,Case 15,Take in charge ticket,Value 9,2013/03/08 08:30:43.000,Variant 4,4,Variant 4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
65,Case 15,Resolve ticket,Value 9,2013/03/08 08:34:08.000,Variant 4,4,Variant 4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
66,Case 15,Closed,Value 3,2013/03/23 08:34:25.000,Variant 4,4,Variant 4,Value 1,Value 15,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
67,Case 16,Assign seriousness,Value 1,2012/02/22 14:16:52.000,Variant 12,12,Variant 12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
68,Case 16,Take in charge ticket,Value 9,2012/02/22 16:14:07.000,Variant 12,12,Variant 12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
69,Case 16,Take in charge ticket,Value 1,2012/02/22 16:23:57.000,Variant 12,12,Variant 12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
70,Case 16,Resolve ticket,Value 9,2012/02/23 09:47:38.000,Variant 12,12,Variant 12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
71,Case 16,Closed,Value 5,2012/03/24 14:20:19.000,Variant 12,12,Variant 12,Value 1,Value 16,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
72,Case 17,Assign seriousness,Value 1,2011/10/14 07:10:47.000,Variant 1,1,Variant 1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
73,Case 17,Take in charge ticket,Value 2,2011/11/02 16:17:52.000,Variant 1,1,Variant 1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
74,Case 17,Resolve ticket,Value 2,2011/11/09 13:31:37.000,Variant 1,1,Variant 1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
75,Case 17,Closed,Value 5,2011/11/24 15:57:55.000,Variant 1,1,Variant 1,Value 1,Value 17,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
76,Case 18,Assign seriousness,Value 1,2013/03/01 16:06:11.000,Variant 6,6,Variant 6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
77,Case 18,Take in charge ticket,Value 1,2013/03/18 14:04:03.000,Variant 6,6,Variant 6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
78,Case 18,Resolve ticket,Value 1,2013/03/19 10:22:40.000,Variant 6,6,Variant 6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
79,Case 18,Resolve ticket,Value 1,2013/03/19 10:22:40.000,Variant 6,6,Variant 6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
80,Case 18,Closed,Value 3,2013/04/03 09:23:01.000,Variant 6,6,Variant 6,Value 1,Value 18,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
81,Case 19,Assign seriousness,Value 2,2010/07/07 07:54:04.000,Variant 1,1,Variant 1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
82,Case 19,Take in charge ticket,Value 7,2010/07/09 10:10:52.000,Variant 1,1,Variant 1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
83,Case 19,Resolve ticket,Value 7,2010/07/09 10:11:18.000,Variant 1,1,Variant 1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
84,Case 19,Closed,Value 5,2010/08/07 08:00:22.000,Variant 1,1,Variant 1,Value 1,Value 19,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
85,Case 20,Assign seriousness,Value 14,2013/05/09 07:10:37.000,Variant 2,2,Variant 2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
86,Case 20,Take in charge ticket,Value 9,2013/06/04 13:33:01.000,Variant 2,2,Variant 2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
87,Case 20,Wait,Value 9,2013/06/10 09:06:43.000,Variant 2,2,Variant 2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
88,Case 20,Resolve ticket,Value 9,2013/06/19 09:12:02.000,Variant 2,2,Variant 2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
89,Case 20,Closed,Value 3,2013/07/04 09:12:15.000,Variant 2,2,Variant 2,Value 1,Value 20,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
90,Case 21,Assign seriousness,Value 8,2011/01/14 15:15:21.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
91,Case 21,Take in charge ticket,Value 2,2011/01/27 08:06:37.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
92,Case 21,Resolve ticket,Value 2,2011/01/27 10:19:15.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
93,Case 21,Closed,Value 5,2011/02/26 10:19:37.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
94,Case 22,Assign seriousness,Value 1,2012/07/23 07:49:04.000,Variant 2,2,Variant 2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
95,Case 22,Take in charge ticket,Value 1,2012/07/23 07:49:14.000,Variant 2,2,Variant 2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
96,Case 22,Wait,Value 1,2012/07/23 08:51:59.000,Variant 2,2,Variant 2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
97,Case 22,Resolve ticket,Value 1,2012/08/27 10:05:23.000,Variant 2,2,Variant 2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
98,Case 22,Closed,Value 3,2012/09/11 10:05:33.000,Variant 2,2,Variant 2,Value 1,Value 21,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
99,Case 23,Assign seriousness,Value 13,2012/12/19 16:33:23.000,Variant 1,1,Variant 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
100,Case 23,Take in charge ticket,Value 2,2013/01/03 08:26:14.000,Variant 1,1,Variant 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
101,Case 23,Resolve ticket,Value 1,2013/01/22 15:50:53.000,Variant 1,1,Variant 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
102,Case 23,Closed,Value 3,2013/02/06 15:51:06.000,Variant 1,1,Variant 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
103,Case 24,Assign seriousness,Value 2,2010/04/27 09:49:56.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
104,Case 24,Take in charge ticket,Value 2,2010/06/08 11:06:56.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
105,Case 24,Resolve ticket,Value 2,2010/06/08 14:46:16.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
106,Case 24,Closed,Value 5,2010/06/23 14:46:28.000,Variant 1,1,Variant 1,Value 1,Value 18,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
107,Case 25,Assign seriousness,Value 13,2010/12/30 09:27:17.000,Variant 1,1,Variant 1,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
108,Case 25,Take in charge ticket,Value 2,2010/12/30 13:14:04.000,Variant 1,1,Variant 1,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
109,Case 25,Resolve ticket,Value 2,2010/12/30 15:16:35.000,Variant 1,1,Variant 1,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
110,Case 25,Closed,Value 5,2011/02/16 09:30:28.000,Variant 1,1,Variant 1,Value 1,Value 22,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
111,Case 26,Assign seriousness,Value 2,2011/03/31 07:28:47.000,Variant 3,3,Variant 3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
112,Case 26,Take in charge ticket,Value 2,2011/03/31 07:31:59.000,Variant 3,3,Variant 3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
113,Case 26,Wait,Value 2,2011/03/31 08:39:41.000,Variant 3,3,Variant 3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
114,Case 26,Take in charge ticket,Value 2,2011/03/31 11:00:28.000,Variant 3,3,Variant 3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
115,Case 26,Resolve ticket,Value 2,2011/03/31 11:00:41.000,Variant 3,3,Variant 3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
116,Case 26,Closed,Value 5,2011/05/05 09:50:46.000,Variant 3,3,Variant 3,Value 1,Value 23,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
117,Case 27,Assign seriousness,Value 1,2011/11/24 14:02:16.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
118,Case 27,Take in charge ticket,Value 1,2011/11/24 14:02:35.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
119,Case 27,Resolve ticket,Value 13,2011/12/12 09:04:47.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
120,Case 27,Closed,Value 5,2011/12/27 09:05:04.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
121,Case 28,Assign seriousness,Value 9,2013/10/25 15:53:59.000,Variant 55,55,Variant 55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
122,Case 28,Take in charge ticket,Value 9,2013/10/25 15:54:05.000,Variant 55,55,Variant 55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
123,Case 28,Create SW anomaly,Value 9,2013/10/25 15:54:12.000,Variant 55,55,Variant 55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
124,Case 28,Require upgrade,Value 9,2013/10/25 15:54:23.000,Variant 55,55,Variant 55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
125,Case 28,Require upgrade,Value 1,2013/11/14 15:55:48.000,Variant 55,55,Variant 55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
126,Case 28,Resolve ticket,Value 1,2013/12/23 08:08:05.000,Variant 55,55,Variant 55,Value 1,Value 24,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
127,Case 29,Assign seriousness,Value 1,2012/07/30 10:07:32.000,Variant 1,1,Variant 1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
128,Case 29,Take in charge ticket,Value 1,2012/07/30 10:07:40.000,Variant 1,1,Variant 1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
129,Case 29,Resolve ticket,Value 1,2012/07/30 12:29:40.000,Variant 1,1,Variant 1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
130,Case 29,Closed,Value 5,2012/09/14 10:10:38.000,Variant 1,1,Variant 1,Value 1,Value 25,Value 5,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
131,Case 30,Assign seriousness,Value 2,2011/01/21 09:47:20.000,Variant 1,1,Variant 1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
132,Case 30,Take in charge ticket,Value 2,2011/02/07 09:19:45.000,Variant 1,1,Variant 1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
133,Case 30,Resolve ticket,Value 2,2011/02/10 09:01:20.000,Variant 1,1,Variant 1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
134,Case 30,Closed,Value 5,2011/02/25 09:01:35.000,Variant 1,1,Variant 1,Value 1,Value 26,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
135,Case 31,Assign seriousness,Value 4,2013/04/15 12:41:20.000,Variant 45,45,Variant 45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
136,Case 31,Take in charge ticket,Value 9,2013/04/18 07:06:11.000,Variant 45,45,Variant 45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
137,Case 31,Create SW anomaly,Value 9,2013/04/18 07:18:02.000,Variant 45,45,Variant 45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
138,Case 31,Require upgrade,Value 9,2013/04/18 07:18:23.000,Variant 45,45,Variant 45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
139,Case 31,Resolve ticket,Value 9,2013/05/15 13:30:39.000,Variant 45,45,Variant 45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
140,Case 31,Closed,Value 3,2013/05/30 13:31:00.000,Variant 45,45,Variant 45,Value 1,Value 27,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
141,Case 32,Assign seriousness,Value 8,2011/04/27 07:38:44.000,Variant 1,1,Variant 1,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
142,Case 32,Take in charge ticket,Value 8,2011/04/27 12:46:13.000,Variant 1,1,Variant 1,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
143,Case 32,Resolve ticket,Value 2,2011/04/28 08:18:08.000,Variant 1,1,Variant 1,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
144,Case 32,Closed,Value 5,2011/06/04 07:40:30.000,Variant 1,1,Variant 1,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
145,Case 33,Assign seriousness,Value 14,2013/04/29 13:22:48.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
146,Case 33,Take in charge ticket,Value 14,2013/05/14 14:53:46.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
147,Case 33,Resolve ticket,Value 14,2013/05/15 10:19:05.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
148,Case 33,Closed,Value 3,2013/05/30 10:19:20.000,Variant 1,1,Variant 1,Value 1,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
149,Case 34,Assign seriousness,Value 14,2013/06/11 13:56:40.000,Variant 14,14,Variant 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
150,Case 34,Take in charge ticket,Value 14,2013/06/25 10:42:45.000,Variant 14,14,Variant 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
151,Case 34,Wait,Value 14,2013/06/25 10:43:50.000,Variant 14,14,Variant 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
152,Case 34,Wait,Value 9,2013/06/26 13:27:04.000,Variant 14,14,Variant 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
153,Case 34,Resolve ticket,Value 9,2013/07/05 10:18:32.000,Variant 14,14,Variant 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
154,Case 34,Closed,Value 3,2013/07/20 10:18:42.000,Variant 14,14,Variant 14,Value 1,Value 29,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
155,Case 35,Assign seriousness,Value 1,2012/01/18 08:15:30.000,Variant 5,5,Variant 5,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
156,Case 35,Resolve ticket,Value 1,2012/01/18 09:46:37.000,Variant 5,5,Variant 5,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
157,Case 35,Closed,Value 5,2012/03/10 08:20:43.000,Variant 5,5,Variant 5,Value 1,Value 30,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
158,Case 36,Assign seriousness,Value 2,2011/06/29 10:06:48.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
159,Case 36,Take in charge ticket,Value 6,2011/06/30 12:58:23.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
160,Case 36,Resolve ticket,Value 6,2011/07/05 07:32:43.000,Variant 1,1,Variant 1,Value 1,Value 8,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
